county,school_district_id,school_district,prop_value_no_timber,greater_of,levy_value_with_timber,levy_rate,levy_amount,FTE_students,levy_value_per_student,levy_amt_per_student
Adams Co.,1109,Washtucna,45929240,0,45929240,3.26589,150000,66.98,685716,2239
Adams Co.,1122,Benge,19177882,0,19177882,1.5643,30000,11,1743444,2727
Adams Co.,1147,Othello,1112913081,0,1112913081,2.33621,2600000,3794.63,293286,685
Adams Co.,1158,Lind,245084780,0,245084780,2.80953,688573,179.46,1365679,3837
Adams Co.,1160,Ritzville,325244507,0,325244507,2.86861,933000,318.53,1021080,2929
Asotin Co.,2250,Clarkston,1188987710,0,1188987710,4.06942,4838492,2596.86,457856,1863
Asotin Co.,2420,Asotin-Anatone,338919714,1100168,340019882,3.87396,1317225,580.4,585837,2270
Benton Co.,3017,Kennewick,6722344864,0,6722344864,3.48093,23400000,15864.85,423726,1475
Benton Co.,3050,Paterson,451647136,0,451647136,0.46431,209704,125.25,3605965,1674
Benton Co.,3052,Kiona-Benton,575989588,0,575989588,4.1294,2378489,1389.18,414626,1712
Benton Co.,3053,Finley,433797565,0,433797565,4.03414,1750000,911.15,476099,1921
Benton Co.,3116,Prosser,1263782988,0,1263782988,2.7452,3469339,2791.91,452659,1243
Benton Co.,3400,Richland,6420757851,0,6420757851,3.26099,20938000,11197.05,573433,1870
Chelan Co.,4019,Manson,587645703,445192,588090895,1.9395,1140600,628.48,935735,1815
Chelan Co.,4069,Stehekin,20600045,0,20600045,0,0,12.5,1648004,0
Chelan Co.,4127,Entiat,227900289,1556827,229457116,2.84215,650000,332.67,689744,1954
Chelan Co.,4129,Lake Chelan,1721208391,602176,1721810567,1.68357,2893537,1315.2,1309163,2200
Chelan Co.,4222,Cashmere,619055241,264057,619319298,4.06044,2501572,1425.16,434561,1755
Chelan Co.,4228,Cascade,2007720241,2759032,2010479273,1.51259,3031803,1262.35,1592648,2402
Chelan Co.,4246,Wenatchee,3391273428,559182,3391832610,3.29179,11131000,7584.29,447218,1468
Clallam Co.,5121,Port Angeles,2608555558,7288389,2615843947,3.22766,8425249,3599.4,726744,2341
Clallam Co.,5313,Crescent,274815577,13164595,287980172,1.72468,495713,321.23,896492,1543
Clallam Co.,5323,Sequim,3568055401,19865529,3587920930,1.61597,5780000,2758.1,1300867,2096
Clallam Co.,5401,Cape Flattery,82257821,42917336,125175157,2.79912,350000,430.94,290470,812
Clallam Co.,5402,Quillayute Valley,369829790,77660547,447490337,1.43096,628000,3113.4,143730,202
Clark Co.,6037,Vancouver,12409984975,19456,12410004431,3.56077,44000000,21943.73,565538,2005
Clark Co.,6098,Hockinson,895319651,4252084,899571735,3.73205,3350000,1832.53,490891,1828
Clark Co.,6101,La Center,729846399,743381,730589780,3.50007,2552000,1515.63,482037,1684
